Name	Label
cardiomyopathies hypertrophic	cardiomyopathy hypertrophic
cardiomyopathies hypertrophic obstructive	cardiomyopathy hypertrophic
cardiomyopathy hypertrophic	cardiomyopathy hypertrophic
cardiomyopathy hypertrophic disease finding	cardiomyopathy hypertrophic
cardiomyopathy hypertrophic obstructive	cardiomyopathy hypertrophic
cardiomyopathy obstructive	cardiomyopathy hypertrophic
hcm hypertrophic cardiomyopathy	cardiomyopathy hypertrophic
hocm	cardiomyopathy hypertrophic
hocm hypertrophic obstructive cardiomyopathy	cardiomyopathy hypertrophic
hyper obst cardiomyopathy	cardiomyopathy hypertrophic
hypertrophic cardiomyopathies	cardiomyopathy hypertrophic
hypertrophic cardiomyopathy	cardiomyopathy hypertrophic
hypertrophic cardiomyopathy diagnosis	cardiomyopathy hypertrophic
hypertrophic cardiomyopathy disorder	cardiomyopathy hypertrophic
hypertrophic cardiomyopathy hcm	cardiomyopathy hypertrophic
hypertrophic myocardiopathy	cardiomyopathy hypertrophic
hypertrophic obstructive cardiomyopathies	cardiomyopathy hypertrophic
hypertrophic obstructive cardiomyopathy	cardiomyopathy hypertrophic
hypertrophic obstructive cardiomyopathy disorder	cardiomyopathy hypertrophic
hyprtrophc obst cardiomy	cardiomyopathy hypertrophic
obstructive cardiomyopathies hypertrophic	cardiomyopathy hypertrophic
obstructive cardiomyopathy	cardiomyopathy hypertrophic
obstructive cardiomyopathy hypertrophic	cardiomyopathy hypertrophic
obstructive hypertrophic cardiomyopathy	cardiomyopathy hypertrophic
obstructive hypertrophic cardiomyopathy diagnosis	cardiomyopathy hypertrophic
subvalv stenosis	cardiomyopathy hypertrophic
cardiac toxicities	cardiotoxicity
cardiac toxicity	cardiotoxicity
cardiotoxic	cardiotoxicity
cardiotoxicities	cardiotoxicity
cardiotoxicity	cardiotoxicity
cardiotoxicity disease finding	cardiotoxicity
cardiotoxity	cardiotoxicity
central nervous cardiac toxicity	cardiotoxicity
toxicities cardiac	cardiotoxicity
toxicity cardiac	cardiotoxicity
colitis ischaemic	colitis ischemic
colitis ischemic	colitis ischemic
colitis ischemic disease finding	colitis ischemic
colonic ischaemia	colitis ischemic
